"key","value"
"createView","19"
"typeB","10"
"play","40"
"attributes","1089"
"openModal:","52"
"p10","24"
"SystemWindow","70"
"itemCursor","30"
"blockReturnTop","30"
"ann","177"
"elementsMondrian","16"
"sequenceNode","42"
"ownerDataSource","30"
"unlock","20"
"aSuperClass","10"
"isGlobal","14"
"translated","1089"
"original","301"
"quo:","50"
"div16","14"
"pixPerByte","12"
"BlLayoutExactResizer","13"
"actualWidth","10"
"dataStream","48"
"m2","249"
"platform:","16"
"changeSet","12"
"redTab","28"
"m10","10"
"eachExample","27"
"caseSensitiveLessOrEqual:","15"
"supers","10"
"suspendingList","12"
"structure","13"
"newClassName","74"
"sharedPoolNames","17"
"subCollection","17"
"dataSourceItems","13"
"allCount","13"
"GtABAddress","51"
"outBuffer","16"
"createBranch:","74"
"basisObjects","129"
"scrollBounds","37"
"RecursiveSelfRule","13"
"instances","49"
"ClyTraitRoot2","27"
"els","272"
"anInstaller","30"
"starGreedy:","19"
"aFontSize","21"
"should:description:","20"
"aSuperclassName","10"
"lruList","10"
"cherryPickFrom:","47"
"assertAListMatches:","17"
"event","660"
"pointer","115"
"withAdapterDo:","21"
"cb1","40"
"RTBitmap","16"
"=>","21"
"root:","53"
"minHeight","40"
"midLine","12"
"ifTrue:ifFalse:","7523"
"structWithArrays","17"
"BrGlamorousWithDropdownLook","13"
"systemDictionary","19"
"GtDocumentUtility","17"
"childManager","20"
"existing","116"
"should:","182"
"hasClassNamed:","73"
"red","1087"
"streamingStrategy:","12"
"buildSource","10"
"unwound","18"
"CharacterSet","33"
"mouseOverInteraction","12"
"hierarchy","51"
"hasParent","73"
"p9","10"
"Socket","41"
":in","25"
"opacity","89"
"methodPath","12"
"showedCards","11"
"aTaskTwo","18"
"aMonotoneTextSelection","54"
"FamixTInvocation","59"
"newClassInCategory:","15"
"regex","57"
"peekLast","10"
"aNumber","2068"
"aScrollPane","165"
"PPUnresolvedParser","24"
"setSelectedMorph:","47"
"H","14"
"minusOne","54"
":editor","12"
"bytecode","106"
"errorBackgroundColor","15"
"cellInset:","101"
"infinite","27"
"methodClass","498"
"child","788"
"byteAt:","24"
"font2","10"
"prepareIn:","10"
"ClySubclassScope","32"
"nb","25"
"World","333"
"callee","11"
"sideOfPoint:","11"
"raisedToInteger:","137"
"changeClassName","48"
"RBArrayNode","16"
"newTop","28"
"PluginBasedJPEGReadWriter","10"
"calculation:","15"
"detailsPane","13"
"periodToken","10"
"newDefault","59"
"logger","68"
"dayMonthYearDo:","27"
"updateProjects","12"
"lineBreak","10"
"waitLastProcessLock","12"
"fca","57"
"sortBlock","95"
"ClyPackageScope","43"
"tally","336"
"asPMVector","114"
"paint","294"
"aBrowserTool","19"
"aCount","28"
"errorNode","27"
"selectedRowIndexes","25"
"actualInstance","23"
"positive","81"
"operator","51"
"arrowHeadLength","13"
"resultWithRefWithoutAnchorWithSeparateOutputFiles","10"
"shapeName","12"
"toolNamed:","20"
"dragAndConstraint","12"
"replaceFrom:to:with:startingAt:","152"
"-","8544"
"debuggingSession","21"
"rootContainerElement","10"
"beMultipleSelection","37"
"activeFingers","14"
"TextEditor","13"
"sourceLine","16"
"getCanvas","58"
"WeakValueDictionary","10"
"aRecord","54"
"noAction","41"
"semaphoreToHoldMutex","19"
"widthSpec","53"
"Value","13"
"uuid1","23"
"absolutePosition","16"
"goferClass","13"
"matrixSplit","14"
"hash","1185"
"conflict","15"
"aTarjanNode","16"
"buildReleaseForProject:","14"
"propertiesOrSelector","23"
"idxOfCandidateRun","13"
"loopDoneCount","10"
"roassalView","26"
"enterChar","12"
"resizerWidth","14"
"ZnDefaultCharacterEncoder","13"
"with:with:with:with:with:with:","10"
"aVelocity","31"
"candidates","165"
"aWidget","62"
"isRemoved","36"
"BlFontSizeAttribute","16"
"nPix","10"
":aStyler","33"
"exts","27"
"partNamed:","16"
"methodSelection","24"
"rotateByDegrees:","53"
"anIceGitCommit","12"
"ChunkReadStream","11"
"isUnborn","15"
"RTBox","1095"
"aLastIndex","12"
"isString","221"
"textEditorMorph","12"
"resizer","98"
"parameterizableType","14"
"labelled:","27"
"bottom","607"
"ZnMimePart","13"
"PyramidRectangle","112"
"rectangle:","54"
"aLoadableReference","10"
"annotationInstances","29"
"RTGrapher","160"
"GrowlMorph","12"
"userSchedulingPriority","10"
"i3","13"
":cl","34"
"handles:","18"
"aPresentBlock","14"
"directoryPath","16"
"worstValue","10"
"crTrace:","10"
"returnTop","120"
"refactoringWarning:","16"
"cardsContainer","28"
"PMImplicitSystem","62"
"aSmoothScroller","20"
"dummy","97"
"aSide","17"
"dashArray","19"
"mouseDown:","49"
"realInverseSlot","12"
"slowbit","12"
"verticalScrollBar","19"
"tan","54"
"codePoint:","86"
"log","232"
"fillBlt","22"
"hasQuery","19"
"round","42"
"sl","38"
"more","12"
"textWidth","26"
"iterator:to:","15"
":index","638"
"Array","3255"
"lits","14"
"commandLine","61"
"aGroup","119"
"<>-*","22"
"rendererClass:","12"
":request","22"
"PMImplicitStepper","13"
"stencilBuilder","16"
"WACookie","48"
"aCol","30"
"aRadius","81"
"slide","29"
"ZnMimeType","163"
":trait","13"
"theIndices","18"
"TLNodeCreationStrategy","15"
"tasker","14"
"localPointToGlobal:","36"
"resizeTarget:","13"
"fromForm:","10"
"code:","64"
"totalD","29"
"assertTree:equalsText:","103"
"anInfiniteElement","40"
"newBounds:","15"
"setUpForErrorsIn:","31"
"topX","18"
"BlAnimation","25"
"createMethod:inClass:","55"
"level2","61"
"missingReferences","32"
"addReturn","10"
"allReferencesTo:","17"
"rect","400"
"dataTruncated","10"
"lastInstr","12"
"forceLayout","229"
"theNaN","13"
"nullText","16"
":aHostSpace","10"
"binaryWriteStreamDo:","22"
"members","52"
"edgeBuilder","12"
"eval:","13"
"viewRect","27"
"fromAngle","18"
"poolSize","13"
"c23","20"
"steps","94"
"linkRes","19"
"exceptionClass","14"
"nan","57"
"okToChange","27"
"evaluated","20"
"submenu","24"
"aMessageSend","15"
"vs","45"
"indent","155"
"extendedIndex","56"
"isReadOnlyObject","21"
"WALocale","16"
"pathParameterName","18"
":text","56"
"trailer","110"
"superclass","594"
"updateColor","19"
"commitToCherryPick","154"
"renderLabel:value:on:","48"
":referencer","26"
"aCursor","23"
"tWithMethods","10"
"beCached","28"
"el3","63"
"reportOtherProcesses:","19"
"compile:in:classified:","20"
"domainValues:","29"
"pushLiteralVariable:","24"
"button:","26"
"arrow","60"
"borderColor","142"
"RTPieBuilder","12"
"formatForArray:","21"
"correct","43"
"sourceCode:in:withProtocol:","17"
"aTriangleCathetus","12"
"entryCompletion:","15"
"home","69"
"trim","173"
"aReferenceBounds","17"
"itemsBuilder","20"
"document:mimeType:fileName:","19"
"tempMap","14"
"column:format:","29"
"branchMaster","28"
"MooseImportingContext","107"
"delete","431"
"emptyStream","23"
"topDown:","15"
"threeWayCompareTo:","11"
"wrapFlag:","22"
"localName","64"
"c1","554"
"aCanvas","1531"
"rename:to:in:","18"
"asWords","10"
"urlString","21"
"aTwoArgumentBlock","14"
"+=","49"
"aLoRHi","10"
"dayCount","15"
"parentType","91"
"ProportionalLayout","10"
"childrenPosition","18"
"Announcer","60"
"Display","269"
":o","91"
"decorations","27"
"startMatch","25"
"aNegativeSign","10"
":eachIndex","22"
"capitalized","60"
"msRefreshRate","12"
"lightBlue","21"
"z2","30"
"MorphTreeMorph","31"
"endPosition","66"
"stepping","16"
"selectIndex","18"
"decoder","33"
"hour24","10"
"obj1","121"
"isPrime","20"
"brown","21"
"buildTestTreeWithOperation:","17"
"destinationFolder","10"
"readerClass","31"
"heading","235"
"word","126"
"copyright","12"
"aZ","50"
"leftMorphs","17"
"methods:","10"
"firstSubmorph","27"
"assertLog:","59"
"rects","65"
"pathData","28"
"aNodeElement","29"
"aToggle","15"
"started","38"
"aBoundsInParent","11"
"min:","632"
"orderedPackageSpecs","13"
"getSystemAttribute:","34"
"textLine:","11"
"aWeightedElement","19"
"isSymbol","180"
"selectOne:","18"
"onModel","19"
"acceptBlock","26"
"FamixTClass","33"
"leftIndex","12"
"assert:description:","1344"
"GtExampleGroup","12"
"autoFit:","12"
"subqueries","77"
"pt2","65"
"queryAt:","13"
"isMove","12"
"addHandle:on:send:to:","15"
":anObject","70"
"keyText:","129"
"floatAt:put:","38"
"failureCount","22"
"secondStepperClass","13"
"pragmaDict","11"
"referenceAliasMarkup","10"
"quartile:","21"
"applyLayoutIn:","38"
"aBloc","11"
"boolean","80"
"getTextSelector","31"
"aPriority","13"
"char","665"
"instVarNamed:","93"
"remoteRepository","52"
"Duration","290"
"noLabel","47"
"classA","52"
"selectionBarColor","10"
"writeOn:","47"
"aStartDateAndTime","16"
"nextSet","113"
"patchRelativeToBase:","22"
"preLoadDoIt:","72"
"hFill","19"
"policy","10"
"style:","76"
"PPToken","13"
"foundClasses","18"
"keyboardFocusChange:","21"
"registerGesture:","10"
"menu:shifted:","17"
"cache:","17"
":action","16"
"secondKey","18"
"aSection","11"
"mult","24"
"union:","100"
"bin","22"
"userData","145"
"spaceWidth","13"
"arcCos","34"
"RTShowLabel","19"
"categoryIndex","23"
"theChildren","179"
"sourceEditor","115"
"metamodel:","19"
"small","230"
":max","35"
"oldLink","20"
"localScopeClass:","12"
"bRaisedToN","14"
"isNil","2695"
"eventClassBeginGesture","22"
"processList","12"
"scheme:","31"
"initialTime","72"
"incrementMinorVersionNumber","12"
"allAnnotationTypes","20"
"document:","77"
"name:superclassName:traitComposition:classTraitComposition:category:instVarNames:classVarNames:poolDictionaryNames:classInstVarNames:type:comment:commentStamp:","12"
"RTArc","26"
"builderManifestClass","10"
"RTLineDualWidth","12"
"DropListPart","65"
"leafCountour","10"
"instVarNamed:put:","67"
"anOrigin","25"
"newWithLog:","19"
"talisman","29"
"nodeLabel:","29"
"getProperty:","11"
"lastSegment","12"
"rt","11"
"hasCenter","11"
"e","3664"
"oldColor","44"
"sliderElements","17"
"distance","184"
"codeStream","51"
"long","27"
"aStopInteger","11"
"segments","151"
"referencesSameRemoteLocationAs:","11"
"buffer","441"
"outskirts","11"
"simpleClass","38"
"<<","1159"
"docText","67"
"MetaLink","700"
"tableColumnGroup","16"
"globalVariable","21"
"aPattern","17"
"aRBLiteralArrayNode","11"
"jQuery:","311"
"fd","53"
"curve","39"
"SpLabelPresenter","43"
"activate","67"
"aMessage","122"
"jan01","25"
"titlePanel","18"
"unregister","32"
"historyList","30"
"extraBasisSample","13"
"asFunction:","11"
"labelHeight","25"
"nodeLabel:position:","13"
"GtPhlowEmptyView","18"
"attributeName","25"
"shouldBeImplemented","72"
"requires:","88"
"properties","515"
"famixCat","14"
"translationOf:in:","13"
"aGTInspector","16"
"aDir","15"
"requireUpdateAndLayoutApplication","12"
"isReturn","34"
"coders","63"
"childrenFrames","26"
"modifications","12"
"indexedColors","14"
"BrTextEditor","49"
"pref","26"
"mergeMember","12"
"PMBDF4Solver","22"
"patterns","53"
"numberOfEvents","14"
"aGtSnippet","57"
"shiftCount","16"
"queryIncomingTypeDeclarations","20"
"hands","23"
":e","1713"
"GtGraphCircle","35"
"normalizeColor:using:","12"
"iconName:","110"
"annotationType","34"
"writeNodes","12"
"isTestingSSH","10"
"asString","3369"
"caption","74"
"firstPackage","55"
"aTextPainter","55"
"tick","14"
"hasCompleted","29"
"changedClasses","20"
"newNavigationView","12"
"search:","39"
"headCommit","158"
"asMooseDescription","10"
"nextVersion","14"
"removeAll","164"
"circleRight","10"
"validateSemanticVersionStrings:","20"
"drawDuring:","44"
"isInterface","16"
"stub","91"
"dayOfWeek","27"
"gapSize","103"
"tableColumn","10"
"selectionIntervalFor:","10"
"statements","584"
"a12","19"
"nextLine","96"
"lastItem","93"
"IceDirectoryDefinition","12"
"nextToken","26"
"minusTwo","33"
"aMeasuredExtent","25"
"GtRlCommitAndTagReleaseAction","12"
"assertExamples:withSelectors:","31"
"validTests","22"
"skewness","10"
"EventStats","11"
"aYAMLContext","23"
"SpBoxLayout","277"
"arrowLeft","54"
"vocalEditorContainer","32"
"callingMethodUniqueName","12"
"listElement","20"
"collect:thenSelect:","23"
"definedMethods","12"
"vmStats","17"
"invocationFrom:to:","17"
"newItem","23"
"aRPackage","18"
"dim","32"
"type:","98"
"coder","359"
"relation","99"
"Pragma","123"
"shouldNotImplement","153"
"addChange:","30"
"aWarning","10"
"leading","12"
"parse:","317"
"paintColor","14"
"modified:","24"
"y:","160"
"isMeta","178"
"Markups","54"
"IceChangeImporter","24"
"outgoingConnections","16"
"newCheckBox","36"
"expectChar:","15"
"newConnection","12"
"TSBorder","141"
"RTCircleGeometry","11"
"toCenterTop","17"
"assertReleaseActions:equalTypes:","10"
"localSeconds","16"
"desiredPrecision:","19"
"deer","23"
"includesPackage:","10"
"show:","262"
"startButton","16"
"guineaPig","149"
"testedMethods","12"
"empty","647"
"one","509"
"aTickWidth","12"
"sourceTextModel","37"
"imagePng","16"
"follow1","12"
"equalTo:withMapping:","20"
"**","21"
"GtResizablePreviewAttribute","12"
"childrenManager","34"
"TSColorPalette","11"
"guide","31"
"daysInMonth","23"
"wc","93"
"criticss","15"
"hidden","20"
"RTDraggableView","147"
"lastSpaceOrTabExtent","10"
"rateOfCrossover","12"
"searchingString","15"
"aStyle","46"
"bytesRead","40"
"aHandle","98"
"positives","13"
"defaultPollPeriod","12"
"currentBackground","13"
"paris","23"
"compiledMethodAt:ifPresent:ifAbsent:","15"
"root2","29"
"isPassiveRelease","21"
"filename","110"
"BlFrameLayout","56"
"video","12"
"inStream","24"
":eachMethod","17"
"allCalls","11"
"lineY","59"
"createRegistry","13"
"alt","49"
"code:from:in:","11"
"isCorrect","29"
"radix","28"
"addMessage:","10"
"p1","356"
"blk","31"
"BlBlurEvent","15"
"negativeElements","26"
"asSocketAddress","16"
"aProjection","16"
"wcs","21"
"LANPackageTestResource","11"
"selectionInterval:","20"
"damageRecorder","15"
"mouseFocus","24"
"behavior","112"
"aChildNode","24"
"chooser","50"
"classComment:stamp:","10"
"transferFor:from:","13"
"level1Node1","33"
"exitSuccess","15"
"verticallyReverse","10"
"getParameters","12"
"suspend","36"
"colorPalette","20"
"character:","44"
"@","11414"
"versionMessage","13"
"alignment:","26"
"pragmas","279"
"plaintextCredentialForHostname:","12"
":first","47"
"destForm","76"
"definingClassName","45"
"elementInNonEmpty","11"
"alarms","10"
"roll","10"
"binaryReadStreamDo:","40"
"ghostTextRuler","12"
"restoreIl","33"
"matrix3D","13"
"aWidgetElement","18"
"sdlEvent","10"
"valueWithExit","14"
"RTHighlightable","62"
"opposite:","41"
"aComponent","42"
"isHeading","12"
"asSymbol","1265"
"isFloating","16"
"finalQueueIndex","10"
"newWidget","18"
"panel","47"
"%","49"
"isMetaclass:","18"
"sourceVersionString","27"
"RBProtectVariableTransformation","14"
"el","1051"
"mode","77"
"relationships","31"
":link","27"
"updateFromParagraph","14"
"isStarted","60"
"stackElement","16"
"hostSpace","67"
"fromUrl:","10"
"isResolved","24"
"documentItem","11"
"drawBlock","57"
"printPaddedWith:to:","14"
"buildMorph","12"
"aMouseUpEvent","19"
"numLeftoverBits","12"
"bounds","1219"
"positiveElements","30"
"orEnvironment","18"
"aRopedText","30"
"rateOfMutation","10"
"query:","21"
"centerHandle","13"
"nearestReference","10"
"cycleNodes","18"
"visitedDictionary","14"
"FTExampleDataSource","10"
"es1","39"
"xx","28"
"styler","93"
"midWidest","10"
"pca","14"
"externalNewType:size:","13"
"smallSize","16"
"polygons","15"
"RBLiteralNode","13"
"myLine","15"
"secondByte","18"
"errorType:","24"
"classVariableNamed:","31"
"shift:by:","15"
"externalArray","38"
"originalContents","18"
"waitTimeoutSeconds:","14"
"to:port:","36"
"desiredPrecision","10"
"BackslashSpecials","11"
"lh","12"
"endOfSub","20"
"packageTag","23"
"hour12","11"
"day","114"
"extra","108"
"aComposite","246"
"maskForm","20"
"add:subMenu:","25"
"character","98"
"canHandleUrl:","16"
"as:","69"
"notify:at:in:","13"
"connectLine","20"
"createNewClassNamed:inCategory:","66"
"semiAsync","10"
"repetition","10"
"attachedScrap","15"
"classToBeTested","60"
"openAsIsIn:","10"
"zIndex:","69"
"originalEnvironment","12"
"onClick:","72"
"retrieveContents","13"
"isComplexNumber","13"
"permutation","25"
"mooseModel","160"
"valuable","21"
"fontOrNil","10"
"translate:to:direction:","27"
"initializeItems","11"
"originalSize","20"
"yoffset","13"
"y23","12"
"aTLGroup","24"
"nDigitsHigh","10"
"nodesDo:","56"
"classIsMeta","60"
"methodCoder","65"
"aBezierShape","12"
"gtDocument:","12"
"valueNotIn","33"
"resetTEntityMetaLevelDependencyCaches","12"
"corner","307"
"endPC","41"
"depth:","16"
"dump","28"
"anEvent","1649"
"BlArrowheadTriangle","15"
"sd","111"
"strongReceiver","26"
"handleAnyErrorDuring:","15"
"pressed:","15"
"ignoreByLayout","78"
"xFactor","13"
":fm3Class","14"
"attribute","289"
"actionSelector","43"
"from1to3","15"
"itemType","22"
"executor","27"
"borderWidth:","200"
"queryString","20"
"forMilliseconds:","110"
"valueIndex","11"
"Message","20"
"property:whenChangedDo:","126"
"aGeneralMapper","58"
"complexContents","112"
"setFont:","17"
"tableRefresh","16"
"okButton","28"
"production","24"
"stackPtr","12"
"outOfMyPackage","38"
"msecsDelta","16"
"restore:","35"
"twin","23"
"oldRelationGraph","13"
"keyParts","14"
"contrastingColor","15"
"seed:","23"
"leftFirst","13"
"topParent","12"
"l2","15"
":error","67"
"withBottom:","17"
"command:","54"
"newLogEvent:","66"
"myCanvas","56"
"containsPoint:","184"
"aConditionBlock","12"
"hasCallback","22"
"RBAddClassRefactoring","10"
"textColor","121"
"stackp","17"
"--|>","465"
"noCode","14"
"branchName","107"
"anArrayOfMatrices","10"
"numCopied","31"
"expandAll","26"
"PluggableIconListMorph","16"
"copyOfSelf","11"
"srcForm","29"
"unsignedLongAt:put:","100"
"startOffset","52"
"atRandom","254"
"suspendAll","12"
":crit","25"
"labelRotation:","17"
"createShapeBuilder","17"
"playBook","19"
"ClyFullBrowser","15"
"StoredSettingsFactory","11"
"isValid","88"
"partNumber","12"
"RSShapeBuilder","640"
"secondArg","13"
"dependentPackagesDiff","13"
"save","28"
"should:raise:whoseDescriptionIncludes:description:","21"
"newMenuIn:for:","61"
"nearestIndex","16"
"doSomethingString","22"
"topHeader","23"
"lineStart","14"
"anEndDelimiter","11"
"startInteger","11"
"aMethodClass","10"
"qr","76"
"symbolicVersionMethod:","10"
"whenLabelChangedDo:","10"
"scale","483"
"anOperation","22"
"button2","29"
"FTRootItem","14"
"rowHeights","32"
"firstIndex","197"
"verts","88"
":mgr","15"
"resizeTarget","13"
"isBehavior","57"
"modelPackages","15"
"aState","164"
"addSegment:","25"
"compile:classified:","201"
"change1Commit","17"
"withParameters:","27"
"newPath","12"
"package:with:","261"
"hScrollbar","20"
"runForConfiguration:","19"
"file","739"
"projectAttributes:","11"
"aVersionConstructor","52"
"flash","60"
"matchesIn:","20"
"angleExtent","11"
"am","11"
"middleOfTree","18"
"prevLines","16"
"updateList","74"
"unselectAll","19"
"acceptOnCR:","19"
"assertSerializationEqualityOf:","106"
"initializers","10"
"vgap","13"
"ExceptionTester","21"
"odd","88"
":msg","22"
"bitAnd:","518"
"saveBits","14"
"animations","60"
"FMModelBuilder","12"
":e1","13"
"calleeMethodName","12"
"aList","272"
"statusLine","42"
"NetNameResolver","37"
"destOrigin","23"
"hightDifference","12"
"scaleY","23"
"ghostText:","40"
"alternative","18"
"rootNodes","253"
"replaceText","16"
"chooseBlock:","11"
"BlNumberTransition","27"
"ty","14"
"selector:","542"
"trees","122"
"famixMethod","34"
"bitsPerColor","28"
"alignLeft","42"
"aTimeZone","10"
"IceConvertFormatAction","51"
"floor","80"
"EpMethodAddition","14"
"changed:","518"
"hi","69"
"add:height:","26"
"ClyClassSideScope","22"
"subclassResponsibilitySymbol","10"
"x:y:z:","37"
"useAssociations:","43"
"findFirst:","37"
"gtExamplesFactory","22"
"zAxis","11"
"GtSpotterCandidate","34"
"aMargin","19"
"namedEntity","41"
"CurrentExecutionEnvironment","20"
"TRMouseLeave","63"
"expandMacrosWith:","84"
"aBlGeometryAnchor","14"
"dt","518"
"tClass","44"
"nodeB","71"
"rootMenu","10"
"buttonPresenter","16"
"translucentImage:at:","26"
"itemElement","71"
"allButFirst","126"
"pagerColor","11"
"RBExtractMethodRefactoring","15"
":new","49"
"assertStart:stop:ofNode:","61"
"searchStack","11"
"wrapped","59"
"asEpiceaRingDefinition","27"
"externalForm","26"
"veryVeryLightGray","52"
"xOld","15"
"hashBlock:","10"
"sortedByElevation","11"
"aSortFunction","12"
"assertCollection:equals:","50"
"optimizer","73"
"caseInsensitiveLessOrEqual:","29"
"topGap","15"
"association1","16"
"class9","29"
"iRBuilder","10"
"hours:","16"
"newCommand","13"
"asString36","17"
"repoSpec","35"
"isSyntaxHighlightingPossible","11"
"isVisualTarget","12"
"df2","217"
"aClassFamix","13"
"GLMCompositePresentation","18"
"GtPlayBook","33"
"formatterClass","10"
"retryCount","17"
"DistributionMap","15"
"transform:","98"
"proceedThroughWarning:","17"
"limit","219"
"invocationRVar","12"
"aProtocol","55"
"userDefinedEdges:","19"
"addFace:","12"
"x","4542"
"PROrderedList","81"
"windowPresenter","20"
"isNode","56"
"createFormPaint:","16"
"javascript:","35"
"aSelector","728"
"anOldBorder","12"
"OFFSET_WHICH","40"
"PMImplicitMidpointSolver","19"
"expression:","30"
"cpt","34"
"copyUpTo:","56"
"chooseFrom:values:title:","11"
"allClassesAndTraits","29"
"aRepositoryRelease","58"
"responseGenerator","41"
"aRange","14"
"eachPragma","57"
"ClyTraitChild2","33"
"destTextModel","14"
"lastSelectedObjectIn:","13"
"userString","14"
"MetacelloSymbolicVersionMethodSpec","10"
"BlMonotoneSelection","17"
"withPopup:","20"
"newHighlightColor:position:","23"
"new:withAll:","161"
"layoutPolicy","29"
"ifNotEmpty:ifEmpty:","60"
"add:","9562"
"behaviorKey","10"
"document:mimeType:","11"
"pie","330"
"UNDEFINED","17"
"BrGlamorousTabLook","16"
"aSelectionBounds","11"
"listMarkup","10"
"nthRootTruncated:","14"
"should:notTakeMoreThanMilliseconds:","10"
"submorphs","405"
"clazz","12"
"]","108602"
"contains:","30"
"newColumns","14"
"getterMethod","28"
"evaluated:","18"
"storeStringHex","72"
"two","168"
"focusOnCenterScaled","18"
"inverse","43"
"documentPath","10"
"aPRDocumentItem","14"
"assert:position:line:column:","20"
"aMethodModified","32"
"showOptions:","10"
"anInfiniteConstraints","32"
"sessionId","19"
"gtItemsFor:","43"
"extent:","1337"
"isResizable","12"
"arrowRight","48"
"areaToLayout","12"
"removeHandles","10"
"setValueSelector:","16"
"socketHandle","77"
"uncapitalized","36"
"anAST","32"
"newImaginary","19"
"p1m1","17"
"toLeftCenter","28"
"cacheSize","16"
"primes","17"
"rowIndexes","10"
"leftDefinition","20"
"assertLines:","18"
"eachNode","59"
"runningIndex","18"
"refPosn","21"
"lineSelectAndEmptyCheck:","30"
"aRule","108"
"island","49"
"ZnUtils","79"
"otherDate","14"
"accessCollection","33"
"t12","20"
"hasChildren","61"
"findPolicyChanged","12"
"stopConditions","21"
"workingCopies","34"
"optimizingPointClass","13"
"sourceStream","38"
"cbr","10"
"neighbor","45"
"step","510"
"keyAtValue:","17"
"copyReplaceAll:with:","126"
"principal","12"
"NetworkSystemSettings","13"
"childLength","11"
"variableBindings","22"
"searchIdx","18"
"GtResourcesUtility","28"
"modificationTime","24"
"textHtml","48"
"layout","1159"
"TRMouseDragEnd","22"
"delay:","53"
"byKey","16"
"aSettingDeclaration","15"
"distanceMatrix","18"
"const","32"
"q12","22"
"any","69"
"FamixTest1Comment","11"
"displayOn:at:","10"
"isAlignedCenter","10"
"aDataFrame","89"
"visitSubstitution:by:","10"
"outputStream","18"
"newPos","22"
"oldSelected","13"
"maxY:","26"
"isVisualSource","11"
"scope","1016"
"dj","14"
"WindowEdgeGripMorph","13"
"printWithCommasOn:","23"
"newCategories","17"
"changeRecord","12"
"bitBuffer","10"
"oldPackage","33"
"isOne","13"
"aPerson","15"
"resultSlots","10"
"targetX","41"
"MetacelloMCProject","23"
"startPosition","177"
"compiledSpec","12"
"IceFileDefinition","17"
"endRow","17"
"subClass","18"
"projectSpec","319"
"MessageNotUnderstood","56"
"segmentOffset","14"
"fonts","17"
"rightJoin:onLeft:onRight:","14"
"asNanoSeconds","41"
"finalForm","10"
"bindingOf:","88"
"FAMIXClassGroup","20"
"RSDraggableView","13"
"eachName","14"
"minutes:","16"
"trLines","12"
"append:","69"
"projects","64"
"toolbar","91"
"repositoryGroup","68"
"bufferedStream","56"
":str","127"
"dep","107"
"resizeScroller","12"
"actionSel","26"
"y2","109"
"tempString","11"
"view:","383"
"handleColor","17"
"protocols","81"
"alternativeBlock","14"
"colons","16"
"bitLength","20"
"xPos","11"
"preprocessedStopPosition","11"
"newEvent","17"
"showWhile:","38"
"materializedGraph","12"
"alphaImage","13"
"alignTop","47"
"classShape","12"
"withSeparatorAfter","67"
"MailMessage","24"
"category","447"
"aButton","315"
"aFirstAnimation","44"
"timedOut","12"
"methodCodersStencil","10"
"aWordObject","18"
"RxParser","28"
"size","11741"
"highlight","41"
"shared","62"
"setParent:","13"
"nestLevel","20"
"DebuggerMethodMapOpal","22"
"gtPreviewFor:","20"
"biWidth","15"
"importClass","16"
"out","359"
"subtitle:","19"
"greenSlider","10"
"exceptionHandler","14"
"isSystemWindow","25"
"countsUpTo:","10"
"dist","142"
"shuffled","10"
"execute:initialAnswer:","57"
"atIndex:","22"
"oldClassDefinition","11"
"animColor","10"
"allNamespaces","22"
"projectRelease","131"
"isRightToLeft","10"
"len2","19"
"defaultLineHeight","16"
"aDomainObject","20"
"definitionSource","26"
"anIdentitySet","18"
"timestamp:","103"
"MalTerms","24"
"WAReportColumn","38"
"aDocumentNode","12"
"attributesAt:","41"
":start","29"
"WAMimeType","125"
"multiSelect","32"
"sortedCounts","19"
"attributeselector:","11"
"translator","126"
"aRuler","20"
"messageNode","25"
"tempForm","36"
"nm","18"
"topCenter","37"
"classPropertiesDict","22"
"all","178"
"selectionHolder","12"
"autoUpdateProcess","12"
"viewHasBeenManuallySet","10"
"BlFlowLayout","26"
"accum","13"
"radioButton","34"
"moreThan3Elements","18"
"styleSheet:","12"
"OCScopesCollector","17"
"variable:class:","42"
"newContents:","15"
"versionSelector","12"
"bars","16"
"secondsSinceMidnightLocalTime","21"
"targetZoom","10"
"betaAngle","48"
"layerDepthSize","18"
"anExternalArray","12"
"collectionName","17"
"zapSelectionWith:","12"
"median","19"
"versionWithInfo:","28"
"translation:","12"
"rowToAdd","33"
"readsField:","11"
"queryStaticOutgoingAssociations","19"
"normal","108"
"FileLocator","90"
"compiledMethodAt:","78"
"RTMondrian","148"
"s_indent","21"
"defineHierarchy","11"
"childrenContainer","18"
"fileListTopOffset","12"
"patternList","16"
"GtGradHorizontalDominanceTreeLayout","14"
"ovar","14"
"isWide","26"
"secondary","14"
"badge","11"
"reverse:","19"
"StringConfigurationItem","26"
"scaleFactor","77"
"ui","242"
"selectedContact","10"
"compare","13"
"shortcut:","118"
"preamble","87"
"ofAll:","24"
"lastCharacterWidth","21"
"settings","85"
"privateTestAccessingVar:from:shouldBeRead:hasAccessesSize:","13"
"butts","22"
"needsUpdate","24"
"flattened","30"
"aTLEntity","12"
"packageOrVersionSpec","15"
"standardDeviation","34"
"alert:title:","13"
"with:with:","781"
"records","24"
"pragmasDetected","22"
"bitPokerToForm:","10"
"animate","22"
"ed","82"
"isVisible:","23"
"anInternalLink","59"
"acc","60"
"deprecated:","177"
"ByteArray","331"
"beActive","15"
"for:add:","11"
"aRelativePath","12"
"safeCode","12"
"_retval","10"
"hasScheme","18"
"selectedChange","16"
"isRevisionOf:","11"
